name,price,city,year,district,area,roomsNumber
"5-комнатная квартира, 168.5 м², Алатауская трасса",67400000,Алматы,2023,,168.5,5
"2-комнатная квартира, 46 м², 10/12 этаж, Толе би 189/3 — Жарокова- толе би",41500000,Алматы,2022, Алмалинский р-н,46.0,2
"2-комнатная квартира, 62 м², 5/13 этаж, Просп. Назарбаева 28 — Уг. ул. Назарбаева, Рыскулова",38000000,Алматы,2023,,62.0,2
"6-комнатная квартира, 215 м², 5/5 этаж, Аль-Фараби 110а — Школа Haileybury, речка Есентай",175000000,Алматы,2000, Медеуский р-н,215.0,6
"1-комнатная квартира, 45 м², 2/5 этаж, мкр Саялы 85",19200000,Алматы,2016, Алатауский р-н,45.0,1
"2-комнатная квартира, 52 м², 4/5 этаж, Сатпаева 105А — Егизбаева",47000000,Алматы,1986, Бостандыкский р-н,52.0,2
"3-комнатная квартира, 110 м², 2/3 этаж, мкр Горный Гигант, Мкр Горный Гигант. ул. Ахмедиярова 44",90000000,Алматы,2023, Медеуский р-н,110.0,3
"4-комнатная квартира, 75 м², 5/5 этаж, мкр Орбита-1",44500000,Алматы,1973, Бостандыкский р-н,75.0,4
"3-комнатная квартира, 65 м², 3/4 этаж, Абылай хана — Ж/д вокзала Алматы 2",40000000,Алматы,1972, Жетысуский р-н,65.0,3
"3-комнатная квартира, 82 м², 3/12 этаж, Тажибаевой — Mega Centre",86000000,Алматы,2019, Бостандыкский р-н,82.0,3
"1-комнатная квартира, 40 м², 2/6 этаж, мкр Кокжиек 16",24700000,Алматы,2008, Жетысуский р-н,40.0,1
"2-комнатная квартира, 54.6 м², 7/9 этаж, мкр Жетысу-2 20",35000000,Алматы,1990, Ауэзовский р-н,54.6,2
"3-комнатная квартира, 64.9 м², 3/5 этаж, мкр Орбита-3 7",38900000,Алматы,1976, Бостандыкский р-н,64.9,3
"2-комнатная квартира, 50 м², 4/8 этаж, Гагарина",65000000,Алматы,2022, Бостандыкский р-н,50.0,2
"1-комнатная квартира, 62 м², 12/20 этаж, Брусиловского 163 — Шаккарима",35000000,Алматы,2011, Алмалинский р-н,62.0,1
"3-комнатная квартира, 67 м², 5/6 этаж, мкр Зердели (Алгабас-6) — Момушулы, уг, Монкеби",28990000,Алматы,2013, Алатауский р-н,67.0,3
"3-комнатная квартира, 90 м², 1/10 этаж, мкр Акбулак, Чуланова 143",50500000,Алматы,2012, Алатауский р-н,90.0,3
"2-комнатная квартира, 53 м², 4/5 этаж, Бекмоханова 77",30000000,Алматы,1996, Турксибский р-н,53.0,2
"3-комнатная квартира, 89 м², 14/15 этаж, Егизбаева 7/6",61000000,Алматы,2016, Бостандыкский р-н,89.0,3
"1-комнатная квартира, 44 м², 7/9 этаж, мкр Шугыла, Микрорайон «Шугыла» 342",25000000,Алматы,2018, Наурызбайский р-н,44.0,1
"3-комнатная квартира, 62 м², 4/4 этаж, Попова 1",49990000,Алматы,1965, Бостандыкский р-н,62.0,3
"1-комнатная квартира, 40 м², 5/9 этаж, Пушкина 28",33200000,Алматы,1980, Алмалинский р-н,40.0,1
"3-комнатная квартира, 139 м², 3/6 этаж, мкр Горный Гигант, Фурманова — Назарбаева",155000000,Алматы,2007, Медеуский р-н,139.0,3
"1-комнатная квартира, 45 м², 4/9 этаж, мкр Аккент 29",25000000,Алматы,2010, Алатауский р-н,45.0,1
"2-комнатная квартира, 43 м², 2/2 этаж, Суюнбая 263/12 — Рынок Алматы -1",20900000,Алматы,1955, Турксибский р-н,43.0,2
"2-комнатная квартира, 63 м², 2/3 этаж, Сейдимбека 110/1 — ул Астана",48000000,Алматы,2022, Наурызбайский р-н,63.0,2
"2-комнатная квартира, 71.7 м², 4/12 этаж, Аскарова — Саина",53775000,Алматы,2024, Бостандыкский р-н,71.7,2
"4-комнатная квартира, 167 м², 17/22 этаж, Аль-фараби 9",142000000,Алматы,2019, Медеуский р-н,167.0,4
"5-комнатная квартира, 130 м², 4/15 этаж, Мустафина 35 — Рыскулбекова",85000000,Алматы,2004, Бостандыкский р-н,130.0,5
"3-комнатная квартира, 50 м², 2/10 этаж, Алтын орда 6/40к2",25500000,Алматы,2019, Наурызбайский р-н,50.0,3
"1-комнатная квартира, 39 м², 10/13 этаж, Журавлева",28500000,Алматы,2023, Бостандыкский р-н,39.0,1
"2-комнатная квартира, 61.65 м², 7/12 этаж, мкр Калкаман-2, Калкаман 4Б",29493360,Алматы,2022, Наурызбайский р-н,61.65,2
"5-комнатная квартира, 168.5 м², Алатауская трасса",67400000,Алматы,2023,,168.5,5
"2-комнатная квартира, 65 м², Сейфуллина 533",65000000,Алматы,2022, Алмалинский р-н,65.0,2
"4-комнатная квартира, 133 м², 2/3 этаж, Алмалы 71/4",87000000,Алматы,2022,,133.0,4
"2-комнатная квартира, 50 м², 1/2 этаж, Казбекби 6 — Барибаева",40000000,Алматы,1931, Медеуский р-н,50.0,2
"3-комнатная квартира, 80 м², 3/6 этаж, Чехова 37 — Аймауытова",45500000,Алматы,1990, Турксибский р-н,80.0,3
"2-комнатная квартира, 60 м², 4/5 этаж, мкр Жулдыз-2 39 г",29000000,Алматы,2006, Турксибский р-н,60.0,2
"1-комнатная квартира, 26 м², 3/4 этаж, Жубанова — Саина",15500000,Алматы,1969, Ауэзовский р-н,26.0,1
"1-комнатная квартира, 35 м², 4/5 этаж, мкр Мамыр-1 2 — Шаляпина - Момышулы",26800000,Алматы,1994, Ауэзовский р-н,35.0,1
"2-комнатная квартира, 70 м², 16/16 этаж, Тлендиева 133 — Сатпаева",46700000,Алматы,2022, Бостандыкский р-н,70.0,2
"1-комнатная квартира, 38.7 м², 8/12 этаж, Сатпаева 90 — Туркебаева",40500000,Алматы,2019, Бостандыкский р-н,38.7,1
"1-комнатная квартира, 32.2 м², 6/12 этаж, Кульджинский тракт 156/5 — Бухтарминская",13900000,Алматы,2023,,32.2,1
"2-комнатная квартира, 42 м², 1/2 этаж, Сейфуллина — Сейфулина Варшавская",15000000,Алматы,1963, Турксибский р-н,42.0,2
"3-комнатная квартира, 81.3 м², 13/13 этаж, Просп. Назарбаева 28",55500000,Алматы,2022,,81.3,3
"3-комнатная квартира, 118 м², 11/13 этаж, Розыбакиева 283/1 — Розыбакиева Аль Фараби",97000000,Алматы,2014, Бостандыкский р-н,118.0,3
"3-комнатная квартира, 59 м², 4/4 этаж, Макатаева 196 — Муратбаева",35800000,Алматы,1970, Алмалинский р-н,59.0,3
"4-комнатная квартира, 119 м², Кенесары хана 54",58326000,Алматы,2013, Наурызбайский р-н,119.0,4
"1-комнатная квартира, 45 м², 6/9 этаж, мкр Жас Канат 1/13",22800000,Алматы,2015, Турксибский р-н,45.0,1
"2-комнатная квартира, 64.2 м², 4/5 этаж, Тимирязева 113 — Розыбакиева",62750000,Алматы,1986, Бостандыкский р-н,64.2,2
"3-комнатная квартира, 99.15 м², Аскарова — Саина",71280000,Алматы,2023, Ауэзовский р-н,99.15,3
"2-комнатная квартира, 54.9 м², 6/6 этаж, мкр Жулдыз-1, мкр Жулдыз-2 27г",34000000,Алматы,2007, Турксибский р-н,54.9,2
"2-комнатная квартира, 83.5 м², мкр. Астана 1/18",463039507,Алматы,2021, Ауэзовский р-н,83.5,2
"5-комнатная квартира, 315 м², Аскар Тау 364",378000000,Алматы,2022, Медеуский р-н,315.0,5
"2-комнатная квартира, 81.7 м², Жарокова 218",63726000,Алматы,2023, Бостандыкский р-н,81.7,2
"2-комнатная квартира, 68.6 м², 6/9 этаж, мкр Кокжиек, Мкр Кокжиек Сити 11 — Это новый Жк сдача через три месяца",22295000,Алматы,2023, Жетысуский р-н,68.6,2
"3-комнатная квартира, 120.9 м², ул. Жулдыз-5",60450000,Алматы,2022, Бостандыкский р-н,120.9,3
"3-комнатная квартира, 144.4 м², мкр «Мирас» 31",118030000,Алматы,2016, Бостандыкский р-н,144.4,3
"2-комнатная квартира, 55 м², 13/16 этаж, Навои 208/1 — Торайгырова",49500000,Алматы,2015, Бостандыкский р-н,55.0,2
