name,price,city,year
"5-комнатная квартира, 168.5 м², Алатауская трасса",67400000,Алматы,2023
"2-комнатная квартира, 46 м², 10/12 этаж, Толе би 189/3 — Жарокова- толе би",41500000,"Алматы, Алмалинский р-н",2022
"2-комнатная квартира, 62 м², 5/13 этаж, Просп. Назарбаева 28 — Уг. ул. Назарбаева, Рыскулова",38000000,Алматы,2023
"6-комнатная квартира, 215 м², 5/5 этаж, Аль-Фараби 110а — Школа Haileybury, речка Есентай",175000000,"Алматы, Медеуский р-н",2000
"1-комнатная квартира, 45 м², 2/5 этаж, мкр Саялы 85",19200000,"Алматы, Алатауский р-н",2016
"2-комнатная квартира, 52 м², 4/5 этаж, Сатпаева 105А — Егизбаева",47000000,"Алматы, Бостандыкский р-н",1986
"3-комнатная квартира, 110 м², 2/3 этаж, мкр Горный Гигант, Мкр Горный Гигант. ул. Ахмедиярова 44",90000000,"Алматы, Медеуский р-н",2023
"4-комнатная квартира, 75 м², 5/5 этаж, мкр Орбита-1",44500000,"Алматы, Бостандыкский р-н",1973
"3-комнатная квартира, 65 м², 3/4 этаж, Абылай хана — Ж/д вокзала Алматы 2",40000000,"Алматы, Жетысуский р-н",1972
"3-комнатная квартира, 82 м², 3/12 этаж, Тажибаевой — Mega Centre",86000000,"Алматы, Бостандыкский р-н",2019
"1-комнатная квартира, 40 м², 2/6 этаж, мкр Кокжиек 16",24700000,"Алматы, Жетысуский р-н",2008
"2-комнатная квартира, 54.6 м², 7/9 этаж, мкр Жетысу-2 20",35000000,"Алматы, Ауэзовский р-н",1990
"3-комнатная квартира, 64.9 м², 3/5 этаж, мкр Орбита-3 7",38900000,"Алматы, Бостандыкский р-н",1976
"2-комнатная квартира, 50 м², 4/8 этаж, Гагарина",65000000,"Алматы, Бостандыкский р-н",2022
"1-комнатная квартира, 62 м², 12/20 этаж, Брусиловского 163 — Шаккарима",35000000,"Алматы, Алмалинский р-н",2011
"3-комнатная квартира, 67 м², 5/6 этаж, мкр Зердели (Алгабас-6) — Момушулы, уг, Монкеби",28990000,"Алматы, Алатауский р-н",2013
"3-комнатная квартира, 90 м², 1/10 этаж, мкр Акбулак, Чуланова 143",50500000,"Алматы, Алатауский р-н",2012
"2-комнатная квартира, 53 м², 4/5 этаж, Бекмоханова 77",30000000,"Алматы, Турксибский р-н",1996
"3-комнатная квартира, 89 м², 14/15 этаж, Егизбаева 7/6",61000000,"Алматы, Бостандыкский р-н",2016
"1-комнатная квартира, 44 м², 7/9 этаж, мкр Шугыла, Микрорайон «Шугыла» 342",25000000,"Алматы, Наурызбайский р-н",2018
"3-комнатная квартира, 62 м², 4/4 этаж, Попова 1",49990000,"Алматы, Бостандыкский р-н",1965
"1-комнатная квартира, 40 м², 5/9 этаж, Пушкина 28",33200000,"Алматы, Алмалинский р-н",1980
"3-комнатная квартира, 139 м², 3/6 этаж, мкр Горный Гигант, Фурманова — Назарбаева",155000000,"Алматы, Медеуский р-н",2007
"1-комнатная квартира, 45 м², 4/9 этаж, мкр Аккент 29",25000000,"Алматы, Алатауский р-н",2010
"2-комнатная квартира, 43 м², 2/2 этаж, Суюнбая 263/12 — Рынок Алматы -1",20900000,"Алматы, Турксибский р-н",1955
"2-комнатная квартира, 63 м², 2/3 этаж, Сейдимбека 110/1 — ул Астана",48000000,"Алматы, Наурызбайский р-н",2022
"2-комнатная квартира, 71.7 м², 4/12 этаж, Аскарова — Саина",53775000,"Алматы, Бостандыкский р-н",2024
"4-комнатная квартира, 167 м², 17/22 этаж, Аль-фараби 9",142000000,"Алматы, Медеуский р-н",2019
"5-комнатная квартира, 130 м², 4/15 этаж, Мустафина 35 — Рыскулбекова",85000000,"Алматы, Бостандыкский р-н",2004
"3-комнатная квартира, 50 м², 2/10 этаж, Алтын орда 6/40к2",25500000,"Алматы, Наурызбайский р-н",2019
"1-комнатная квартира, 39 м², 10/13 этаж, Журавлева",28500000,"Алматы, Бостандыкский р-н",2023
"2-комнатная квартира, 61.65 м², 7/12 этаж, мкр Калкаман-2, Калкаман 4Б",29493360,"Алматы, Наурызбайский р-н",2022
"5-комнатная квартира, 168.5 м², Алатауская трасса",67400000Ипека0%Рассрочка,Алматы,2023
"2-комнатная квартира, 65 м², Сейфуллина 533",65000000Ипека,"Алматы, Алмалинский р-н",2022
"4-комнатная квартира, 133 м², 2/3 этаж, Алмалы 71/4",87000000,Алматы,2022
"2-комнатная квартира, 50 м², 1/2 этаж, Казбекби 6 — Барибаева",40000000,"Алматы, Медеуский р-н",1931
"3-комнатная квартира, 80 м², 3/6 этаж, Чехова 37 — Аймауытова",45500000,"Алматы, Турксибский р-н",1990
"2-комнатная квартира, 60 м², 4/5 этаж, мкр Жулдыз-2 39 г",29000000,"Алматы, Турксибский р-н",2006
"1-комнатная квартира, 26 м², 3/4 этаж, Жубанова — Саина",15500000,"Алматы, Ауэзовский р-н",1969
"1-комнатная квартира, 35 м², 4/5 этаж, мкр Мамыр-1 2 — Шаляпина - Момышулы",26800000,"Алматы, Ауэзовский р-н",1994
"2-комнатная квартира, 70 м², 16/16 этаж, Тлендиева 133 — Сатпаева",46700000,"Алматы, Бостандыкский р-н",2022
"1-комнатная квартира, 38.7 м², 8/12 этаж, Сатпаева 90 — Туркебаева",40500000,"Алматы, Бостандыкский р-н",2019
"1-комнатная квартира, 32.2 м², 6/12 этаж, Кульджинский тракт 156/5 — Бухтарминская",13900000,Алматы,2023
"2-комнатная квартира, 42 м², 1/2 этаж, Сейфуллина — Сейфулина Варшавская",15000000,"Алматы, Турксибский р-н",1963
"3-комнатная квартира, 81.3 м², 13/13 этаж, Просп. Назарбаева 28",55500000,Алматы,2022
"3-комнатная квартира, 118 м², 11/13 этаж, Розыбакиева 283/1 — Розыбакиева Аль Фараби",97000000,"Алматы, Бостандыкский р-н",2014
"3-комнатная квартира, 59 м², 4/4 этаж, Макатаева 196 — Муратбаева",35800000,"Алматы, Алмалинский р-н",1970
"4-комнатная квартира, 119 м², Кенесары хана 54",58326000Ипека,"Алматы, Наурызбайский р-н",2013
"1-комнатная квартира, 45 м², 6/9 этаж, мкр Жас Канат 1/13",22800000,"Алматы, Турксибский р-н",2015
"2-комнатная квартира, 64.2 м², 4/5 этаж, Тимирязева 113 — Розыбакиева",62750000,"Алматы, Бостандыкский р-н",1986
"3-комнатная квартира, 99.15 м², Аскарова — Саина",71280000Ипека0%Рассрочка,"Алматы, Ауэзовский р-н",2023
"2-комнатная квартира, 54.9 м², 6/6 этаж, мкр Жулдыз-1, мкр Жулдыз-2 27г",34000000,"Алматы, Турксибский р-н",2007
"2-комнатная квартира, 83.5 м², мкр. Астана 1/18",463039507-20-25Ипека,"Алматы, Ауэзовский р-н",2021
"5-комнатная квартира, 315 м², Аскар Тау 364",378000000,"Алматы, Медеуский р-н",2022
"2-комнатная квартира, 81.7 м², Жарокова 218",63726000Ипека0%Рассрочка,"Алматы, Бостандыкский р-н",2023
"2-комнатная квартира, 68.6 м², 6/9 этаж, мкр Кокжиек, Мкр Кокжиек Сити 11 — Это новый Жк сдача через три месяца",22295000,"Алматы, Жетысуский р-н",2023
"3-комнатная квартира, 120.9 м², ул. Жулдыз-5",60450000Ипека,"Алматы, Бостандыкский р-н",2022
"3-комнатная квартира, 144.4 м², мкр «Мирас» 31",118030000Ипека0%Рассрочка,"Алматы, Бостандыкский р-н",2016
"2-комнатная квартира, 55 м², 13/16 этаж, Навои 208/1 — Торайгырова",49500000,"Алматы, Бостандыкский р-н",2015
"2-комнатная квартира, 85 м², 2/20 этаж, Прокофьева 148 — Шакарима",52900000,"Алматы, Алмалинский р-н",2007
"2-комнатная квартира, 55.7 м², Гагарина 277/7",45117000Ипека,"Алматы, Бостандыкский р-н",2021
"2-комнатная квартира, 96 м², 15/16 этаж, мкр Шугыла, Жуалы 28 — Сабденова",30500000,"Алматы, Наурызбайский р-н",2012
"3-комнатная квартира, 68 м², 2/5 этаж, Навои 310 — проспект Аль-Фараби",65000000,"Алматы, Бостандыкский р-н",1977
"4-комнатная квартира, 153.7 м², мкр Курамыс 78",130645000Ипека0%Рассрочка,"Алматы, Наурызбайский р-н",2023
"2-комнатная квартира, 50 м², 11/12 этаж, проспект Абая 165 — Тургут Озала",50500000,"Алматы, Алмалинский р-н",2022
"3-комнатная квартира, 100.1 м², Розыбакиева 237",79079000Ипека,"Алматы, Бостандыкский р-н",2022
"4-комнатная квартира, 172.75 м², мкр Аскартау, Ремизовка",134745000Ипека0%Рассрочка,"Алматы, Бостандыкский р-н",2021
"2-комнатная квартира, 71.41 м², Егизбаева 7г",52557760Ипека0%Рассрочка,"Алматы, Бостандыкский р-н",2024
"4-комнатная квартира, 200 м², 2/3 этаж, Оспанова 85/52 — проспект Аль-Фараби",340000000,"Алматы, Медеуский р-н",2019
"1-комнатная квартира, 42.3 м², 4/5 этаж, мкр Аксай-5 8",30000000,"Алматы, Ауэзовский р-н",1990
"2-комнатная квартира, 59.5 м², А.Шарипова 100",523600000%Рассрочка,"Алматы, Алмалинский р-н",2024
